0 s 25 3.35870 0.28
0 s 26 3.45127 0.29
0 s 27 3.54300 0.29
0 s 28 3.63402 0.30
0 s 29 3.72449 0.31
0 s 30 3.81466 0.32
0 s 31 3.90431 0.32
0 s 32 3.99362 0.33
0 s 33 4.08292 0.33
0 s 34 4.17199 0.35
0 s 35 4.26121 0.36
0 s 36 4.35029 0.36
0 s 37 4.43949 0.37
0 s 38 4.52892 0.37
0 s 39 4.61831 0.38
0 s 40 4.70777 0.40
0 s 41 4.79752 0.41
0 s 42 4.88722 0.41
0 s 43 4.97682 0.42
0 s 44 5.06695 0.44
0 s 45 5.15695 0.43
0 s 46 5.24714 0.45
0 s 47 5.33750 0.46
0 s 48 5.42775 0.47
0 s 49 5.51803 0.49
0 s 50 5.60860 0.50
0 s 51 5.69869 0.52
0 s 52 5.79082 0.60
0 s 53 5.88206 0.59
0 s 54 5.97327 0.61
0 s 55 6.06443 0.63
0 s 56 6.15527 0.64
0 s 57 6.24688 0.62
0 s 58 6.33830 0.72
0 s 59 6.43004 0.74
0 s 60 6.52141 0.68
0 s 65 6.995221 none
0 s 70 7.461516 none
0 s 75 7.929244 none
0 s 80 8.398403 none
0 s 85 8.868995 none
0 s 90 9.341019 none
0 s 95 9.814474 none
0 s 2 0.30961 0.15
0 s 3 0.46859 0.10
0 s 4 0.64688 0.10
0 s 5 0.84010 0.10
0 s 6 1.03754 0.05
0 s 7 1.23104 0.05
0 s 8 1.41285 0.05
0 s 9 1.57755 0.10
0 s 10 1.72565 0.11
0 s 11 1.86128 0.13
0 s 12 1.98918 0.10
0 s 13 2.11163 0.11
0 s 14 2.23007 0.10
0 s 15 2.34504 0.13
0 s 16 2.45702 0.14
0 s 17 2.56620 0.13
0 s 18 2.67246 0.12
0 s 19 2.77615 0.20
0 s 20 2.87778 0.10
0 s 21 2.97726 0.10
0 s 22 3.07460 0.15
0 s 23 3.17065 0.10
0 s 24 3.26560 0.10
1 s 2 0.68024 0.15
1 s 3 0.94014 0.10
1 s 4 1.17299 0.05
1 s 5 1.37015 0.10
1 s 6 1.52147 0.10
1 s 7 1.65457 0.05
1 s 8 1.79793 0.05
1 s 9 1.96182 0.05
1 s 10 2.14602 0.16
1 s 14 2.97439 1.01
2 s 3 1.24298 0.15
2 s 4 1.37956 0.10
2 s 5 1.51537 0.10
2 s 6 1.68127 0.06
2 s 7 1.86524 0.23
2 s 8 2.04965 0.08
2 s 9 2.22928 0.18
2 s 10 2.40316 0.20
2 s 11 2.57266 0.33
2 s 12 2.73769 0.39
2 s 13 2.89999 0.20
3 s 1 0.94436 0.10
3 s 2 1.10648 0.15
3 s 6 2.54893 0.32
3 s 7 2.68590 0.21
3 s 8 2.81930 0.11
3 s 9 2.95095 0.11
4 s 1 1.41175 0.29
4 s 2 1.72158 0.12
4 s 3 2.04813 0.05
4 s 4 2.27831 0.12
4 s 5 2.41118 0.18
5 s 2 2.09055 0.15
5 s 3 2.16876 0.05
5 s 4 2.37925 0.05
5 s 5 2.70355 0.06
5 s 6 3.01138 0.05
5 s 7 3.29283 0.35
5 s 8 3.52693 0.50
5 s 12 4.70000 0.80
6 s 1 1.98333 0.36
6 s 3 2.82186 0.10
6 s 10 4.21111 0.30
7 s 2 2.52154 1.00
7 s 4 3.41122 0.28
7 s 5 3.65746 0.30
7 s 6 3.95573 0.30
7 s 7 4.23399 0.15
8 s 1 2.87260 0.10
8 s 5 4.16526 0.20
8 s 7 4.64515 0.15
9 s 2 3.23006 0.60
9 s 3 3.55645 0.50
9 s 4 3.87800 1.00
9 s 14 6.77150 1.00
10 s 2 4.04100 1.00
11 s 4 4.76613 0.40
11 s 5 5.07244 0.30
11 s 6 5.34826 0.90
12 s 8 6.13333 0.30
12 s 12 7.45150 2.00
13 s 1 4.49443 0.60
13 s 2 4.84507 0.40
13 s 3 5.19375 0.30
14 s 4 5.54400 2.00
14 s 9 7.34528 0.50
15 s 3 6.03185 0.50
15 s 4 6.32400 1.00
16 s 5 6.82980 1.00
16 s 6 7.14938 0.80
16 s 7 7.47100 2.00
17 s 1 6.12383 0.88
17 s 12 9.14600 5.00
17 s 13 9.43000 6.00
18 s 2 6.53438 2.50
18 s 3 6.88700 1.50
18 s 4 7.23805 0.40
19 s 10 9.35256 1.00
20 s 1 6.95394 1.50
20 s 2 7.36027 3.00
20 s 4 8.11750 1.50
20 s 5 8.46548 1.50
21 s 6 8.84815 1.20
21 s 7 9.16940 1.40
21 s 8 9.48820 0.70
22 s 1 7.82401 2.00
22 s 2 8.19989 1.00
23 s 4 8.93672 1.00
23 s 5 9.29025 0.50
25 s 1 8.65914 2.00
25 s 2 9.02650 2.00
27 s 1 9.49379 0.50
27 s 2 9.87100 2.50
