0 t 2 0.37730 1.50
0 t 3 0.58630 0.70
0 t 4 0.76600 0.15
0 t 5 0.92837 0.10
0 t 6 1.07908 0.10
0 t 7 1.22100 0.10
0 t 8 1.35655 0.17
0 t 9 1.48707 0.17
0 t 10 1.61367 0.41
0 t 11 1.73742 0.20
0 t 12 1.85882 0.17
0 t 13 1.97788 0.18
0 t 14 2.09543 0.18
0 t 15 2.21116 0.40
0 t 16 2.32640 0.27
0 t 17 2.44032 0.31
0 t 18 2.55305 0.35
0 t 19 2.66576 0.18
0 t 20 2.77759 0.33
0 t 21 2.88867 0.45
0 t 22 3.00025 0.21
0 t 23 3.11108 0.50
0 t 24 3.22259 0.40
1 t 1 1.23558 0.48
1 t 2 1.31925 0.22
1 t 3 1.43834 0.22
1 t 4 1.58510 0.22
1 t 5 1.75013 0.10
1 t 6 1.92511 0.10
1 t 7 2.10296 0.18
1 t 8 2.27949 0.19
1 t 9 2.45241 0.23
1 t 10 2.62050 0.70
2 t 1 2.18713 0.30
2 t 2 2.23280 0.27
2 t 3 2.29490 1.50
2 t 4 2.37909 0.15
2 t 5 2.48490 1.30
2 t 6 2.60965 1.50
2 t 7 2.75150 2.00
2 t 8 2.91267 0.49
0 t 25 3.33341 0.30
0 t 26 3.44329 0.32
0 t 27 3.55326 0.33
0 t 28 3.66319 0.34
0 t 29 3.77251 0.75
0 t 30 3.88187 0.78
0 t 31 3.99218 0.49
0 t 32 4.10172 0.61
0 t 33 4.21155 0.90
0 t 34 4.32129 1.21
0 t 35 4.43103 1.49
0 t 36 4.54097 1.75
0 t 37 4.65065 1.92
0 t 38 4.76057 2.08
0 t 39 4.87056 2.14
0 t 40 4.98030 2.13
0 t 41 5.09013 2.10
0 t 42 5.20001 2.03
0 t 43 5.30963 1.92
0 t 44 5.41948 1.79
0 t 45 5.52937 1.62
0 t 46 5.63900 1.49
0 t 47 5.74840 1.35
0 t 48 5.85839 1.27
0 t 49 5.96806 1.25
0 t 50 6.07755 1.26
0 t 51 6.18741 1.26
0 t 52 6.29749 1.23
0 t 53 6.40742 1.40
0 t 54 6.51791 1.66
0 t 55 6.62783 2.46
0 t 56 6.73839 0.86
0 t 57 6.84871 0.94
0 t 58 6.95928 1.07
0 t 59 7.06954 1.10
0 t 60 7.17875 0.93
0 t 65 7.72882 none
0 t 70 8.27843 none
0 t 75 8.82818 none
0 t 80 9.37829 none
0 t 85 9.92857 none
